Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Cases_28_Days,Deaths_28_Days
Afghanistan,2021-07-12 02:21:55,33.93911,67.709953,131586,5561,81077,-39781,338.02108340553224,,,4.2261334792455125,4,AFG,42846,2112
Albania,2021-06-01 09:21:52,41.1533,20.1683,132315,2451,129431,433,4597.783028702481,,,1.8523976873370367,8,ALB,138,3
Algeria,2021-06-01 09:21:52,28.0339,1.6596,128913,3596,89839,35478,293.97932450546267,,,2.789478175203432,12,DZA,12226,259
Andorra,2021-06-01 09:21:52,42.5063,1.5218,13727,127,13458,142,17766.129554131883,,,0.9251839440518684,20,AND,262,0
Angola,2021-06-01 09:21:52,-11.2027,17.8739,34551,766,28079,5706,105.12602160975504,,,2.2170125321987793,24,AGO,3281,104
Antigua and Barbuda,2021-06-01 09:21:52,17.0608,-61.7964,1260,42,1213,5,1286.6595866350788,,,3.333333333333333,28,ATG,3,0
Argentina,2021-06-01 09:21:52,-38.4161,-63.6167,3781784,78093,3350602,353089,8367.560535578357,,,2.0649777988377966,32,ARG,527951,13426
Armenia,2021-06-01 09:21:52,40.0691,45.0382,222778,4445,213429,4904,7518.069784566457,,,1.9952598551023892,51,ARM,2642,60
Australia,2021-07-12 02:21:55,-25.0,133.0,31220,911,23891,6418,122.6251684033983,,,2.9180012812299814,36,AUS,852,1
Austria,2021-04-12 23:21:05,47.5162,14.5501,578950,9706,538609,31731,6428.20660863386,,,1.676483288712324,40,AUT,3066,71
Azerbaijan,2021-06-01 09:21:52,40.1431,47.5769,333956,4913,324565,4478,3293.7196566781813,,,1.4711518882727066,31,AZE,1972,31
Bahamas,2021-06-01 09:21:52,25.025885,-78.035889,11796,230,10730,836,2999.6338188623968,,,1.949813496100373,44,BHS,932,16
Bahrain,2021-06-01 09:21:52,26.0275,50.55,240531,980,211024,28527,14135.71950354464,,,0.40743189027609744,48,BHR,9260,170
Bangladesh,2021-06-01 09:21:52,23.685,90.3563,800540,12619,740372,47549,486.09083683311883,,,1.576310990081695,50,BGD,184829,3118
Barbados,2021-06-01 09:21:52,13.1939,-59.5432,4017,47,3922,48,1397.844598097929,,,1.170027383619617,52,BRB,100,1
Belarus,2021-06-01 09:21:52,53.7098,27.9534,394439,2851,385382,6206,4174.257600096345,,,0.7227987090526038,112,BLR,22146,278
Belgium,2021-07-12 02:21:55,50.8333,4.469936,1093700,25198,,1068502,9436.895924765755,,,2.3039224650269725,56,BEL,17935,117
Belize,2021-06-01 09:21:52,17.1899,-88.4976,12809,324,12408,77,3221.4093320020825,,,2.529471465375908,84,BLZ,580,5
Benin,2021-06-01 09:21:52,9.3077,2.3158,8058,101,7893,64,66.46761027906993,,,1.2534127575080665,204,BEN,118,3
Bhutan,2021-06-01 09:21:52,27.5142,90.4336,1620,1,1308,311,209.9500785368812,,,0.061728395061728385,64,BTN,458,0
Bolivia,2021-06-01 09:21:52,-16.2902,-63.5887,371279,14524,295273,61482,3180.6568800608648,,,3.9118829774913206,68,BOL,48248,1715
Bosnia and Herzegovina,2021-06-01 09:21:52,43.9159,17.6791,204012,9253,175081,19678,6218.332944710384,,,4.535517518577339,70,BIH,548,177
Botswana,2021-06-01 09:21:52,-22.3285,24.6849,56313,849,51259,4205,2394.642002870356,,,1.5076447711896008,72,BWA,15908,306
Brazil,2021-07-12 02:21:55,-14.235,-51.9253,19089940,533488,17001043,1555409,8980.990345150987,,,2.7946028117427293,76,BRA,1694185,46621
Brunei,2021-06-01 09:21:52,4.5353,114.7277,242,3,228,11,55.316435152908795,,,1.2396694214876034,96,BRN,20,0
Bulgaria,2021-06-01 09:21:52,42.7339,25.4858,418577,17700,382183,18694,6024.038471917099,,,4.228612656691602,100,BGR,2152,242
Burkina Faso,2021-06-01 09:21:52,12.2383,-1.5616,13434,166,13255,13,64.26743212236856,,,1.2356706863182971,854,BFA,47,1
Burma,2021-06-01 09:21:52,21.9162,95.956,143629,3217,132319,8093,263.97637160692057,,,2.2397983694100767,104,MMR,43522,515
Burundi,2021-06-01 09:21:52,-3.3731,29.9189,4790,6,773,586,40.283308556435436,,,0.12526096033402925,108,BDI,613,0
Cabo Verde,2021-06-01 09:21:52,16.5388,-23.0418,30439,264,28710,1465,5474.758448024058,,,0.867308387266336,132,CPV,1398,16
Cambodia,2021-06-01 09:21:52,11.55,104.9167,30710,220,23389,7101,183.68355325217084,,,0.7163790296320417,116,KHM,22019,561
Cameroon,2021-06-01 09:21:52,3.848,11.5021,78929,1275,35261,42393,297.3306877485698,,,1.6153758441130637,120,CMR,768,14
Canada,2021-07-12 02:21:55,60.00100000000001,-95.001,1427284,26392,1395564,369116,3770.32765103656,,,1.8491064147009284,124,CAN,19242,506
Central African Republic,2021-06-01 09:21:52,6.6111,20.9394,7091,98,6859,134,146.8187679563639,,,1.3820335636722607,140,CAF,41,0
Chad,2021-06-01 09:21:52,15.4542,18.7322,4931,173,4746,12,30.01973899812485,,,3.5084161427702285,148,TCD,12,0
Chile,2021-07-12 02:21:55,-35.6751,-71.543,1587478,33877,1535072,18529,8304.355743338023,,,2.134013825703412,152,CHL,116168,3188
China,2021-07-12 02:21:55,30.5928,114.3055,104072,4848,98660,564,7.408966590901407,,,4.658313475286341,156,CHN,663,2
Colombia,2021-07-12 02:21:55,4.5709,-74.2973,4471622,111731,4199227,-4254558,8788.067122924873,,,2.4986682684717088,170,COL,746917,16539
Comoros,2021-06-01 09:21:52,-11.6455,43.3333,3951,146,3719,86,454.34943853173036,,,3.69526702100734,174,COM,84,0
Congo (Brazzaville),2021-06-01 09:21:52,-0.228,15.8277,11658,153,8208,914,211.26867765162305,,,1.3124034997426661,178,COG,669,7
Congo (Kinshasa),2021-06-01 09:21:52,-4.0383,21.7587,31651,782,27665,3204,35.3399998061665,,,2.4706960285614987,180,COD,9021,146
Costa Rica,2021-06-01 09:21:52,9.7489,-83.7534,318986,4041,243495,71450,6261.854367609361,,,1.2668267572871537,188,CRI,40582,451
Cote d'Ivoire,2021-06-01 09:21:52,7.54,-5.5471,47292,305,46702,285,179.2838993451998,,,0.6449293749471371,384,CIV,1114,12
Croatia,2021-06-01 09:21:52,45.1,15.2,356181,8026,346220,1935,8676.193612694713,,,2.2533487187693897,191,HRV,2264,95
Cuba,2021-06-01 09:21:52,21.521757,-77.78116700000002,142266,958,135216,6092,1256.0326932598405,,,0.67338647322621,192,CUB,75330,415
Cyprus,2021-06-01 09:21:52,35.1264,33.4299,72457,360,39061,32966,6001.270539631477,,,0.4968464054542695,196,CYP,10308,8
Czechia,2021-06-01 09:21:52,49.8175,15.473,1661780,30119,1621262,10399,15517.628099477617,,,1.812454115466548,203,CZE,4160,107
Denmark,2021-06-01 09:21:52,56.2639,9.5018,281985,2517,266182,13286,4868.354924715173,,,0.8926006702484175,208,DNK,9153,14
Diamond Princess,2021-06-01 09:21:52,,,712,13,699,0,,,,1.8258426966292132,9999,,0,0
Djibouti,2021-06-01 09:21:52,11.8251,42.5903,11533,154,11369,10,1167.3053293414387,,,1.3352987080551462,262,DJI,42,1
Dominica,2021-06-01 09:21:52,15.415,-61.371,188,0,186,2,261.1437540803712,,,0.0,212,DMA,8,0
Dominican Republic,2021-06-01 09:21:52,18.7357,-70.1627,292786,3628,241596,47562,2699.009873243716,,,1.2391302862841802,214,DOM,25206,184
Ecuador,2021-06-01 09:21:52,-1.8312,-78.1834,426037,20572,375151,30314,2414.7568505690056,,,4.828688588080378,218,ECU,29868,796
Egypt,2021-06-01 09:21:52,26.820553000000004,30.802498,262650,15096,192112,55442,256.65855499249847,,,5.747572815533982,818,EGY,10494,801
