Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-08-02 05:02:31,32.3182,-86.9023,89349,1603,35401,52345.0,1,1822.2645076618564,697371,10521,1.7940883501773943,84000001,USA,14222.816393833804,11.77517375684115
Alaska,US,2020-08-02 05:02:31,61.3707,-152.4044,3136,24,930,2182.0,2,428.681762570997,238633,,0.7653061224489796,84000002,USA,32620.41296160865,
American Samoa,US,2020-08-02 05:02:31,-14.270999999999999,-170.132,0,0,,0.0,60,0.0,1267,,,16,ASM,2277.097823547384,
Arizona,US,2020-08-02 05:02:31,33.7298,-111.4312,177002,3747,23064,150191.0,4,2431.774720737185,948650,11346,2.116925232483249,84000004,USA,13033.203516498856,6.410097061050157
Arkansas,US,2020-08-02 05:02:31,34.9697,-92.3731,43173,458,36034,6681.0,5,1430.609807661465,514581,2852,1.06084821531976,84000005,USA,17051.505001650206,6.605980589720427
California,US,2020-08-02 05:02:31,36.1162,-119.6816,506613,9345,,497268.0,6,1282.16779906309,7886587,,1.8446032770576357,84000006,USA,19959.86659621758,
Colorado,US,2020-08-02 05:02:31,39.0598,-105.3111,47249,1844,5334,40071.0,8,820.4751876106145,533403,6441,3.9027281000656098,84000008,USA,9262.501354463897,13.632034540413553
Connecticut,US,2020-08-02 05:02:31,41.5978,-72.7554,49810,4432,8613,36765.0,9,1397.0824789140397,793996,10807,8.897811684400724,84000009,USA,22270.184700418227,21.69644649668741
Delaware,US,2020-08-02 05:02:31,39.3185,-75.5071,14877,585,8212,6080.0,10,1527.7829124921439,182896,,3.9322444041137325,84000010,USA,18782.374374078317,
Diamond Princess,US,2020-08-02 05:02:31,,,49,0,,49.0,88888,,,,0.0,84088888,USA,,
District of Columbia,US,2020-08-02 05:02:31,38.8974,-77.0268,12057,584,9816,1657.0,11,1708.3977448072899,193781,,4.8436592850626194,84000011,USA,27457.49551186045,
Florida,US,2020-08-02 05:02:31,27.7663,-81.6868,480028,7022,,473006.0,12,2235.002691391556,3679443,27344,1.4628313348388011,84000012,USA,17131.427766342422,5.696334380494471
Georgia,US,2020-08-02 05:02:31,33.0406,-83.6431,190012,3825,,186187.0,13,1789.6244691390746,1596085,18995,2.0130307559522556,84000013,USA,15032.696728763656,9.99673704818643
Grand Princess,US,2020-08-02 05:02:31,,,103,3,,100.0,99999,,,,2.912621359223301,84099999,USA,,
Guam,US,2020-08-02 05:02:31,13.4443,144.7937,356,5,304,47.0,66,216.7704851152963,22052,,1.404494382022472,316,GUM,13427.591960007063,
Hawaii,US,2020-08-02 05:02:31,21.0943,-157.4983,2197,26,1243,928.0,15,155.16939384351127,123251,179,1.183431952662722,84000015,USA,8704.953555123628,8.1474738279472
Idaho,US,2020-08-02 05:02:31,44.2405,-114.4788,21109,197,6998,13914.0,16,1181.2105323533278,181873,850,0.933251219858828,84000016,USA,10177.189973504042,4.026718461319816
Illinois,US,2020-08-02 05:02:31,40.3495,-88.9861,181754,7700,,174054.0,17,1434.3163464824827,2740658,,4.2364954829054655,84000017,USA,21627.972806749716,
Indiana,US,2020-08-02 05:02:31,39.8494,-86.2583,67122,2971,46955,17196.0,18,997.0263890702308,758606,8781,4.426268585560621,84000018,USA,11268.290588883101,13.082148922856888
Iowa,US,2020-08-02 05:02:31,42.0115,-93.2105,45293,874,32819,11600.0,19,1435.5624439394371,478970,,1.9296580045481642,84000019,USA,15180.962704472484,
Kansas,US,2020-08-02 05:02:31,38.5266,-96.7265,27592,358,1178,26056.0,20,947.1001066139798,292507,1751,1.297477529718759,84000020,USA,10040.352670532597,6.346042331110467
Kentucky,US,2020-08-02 05:02:31,37.6681,-84.6701,30723,740,8135,21848.0,21,687.6734264123628,596674,3782,2.4086189499723334,84000021,USA,13355.364190709572,12.309995768642386
Louisiana,US,2020-08-02 05:02:31,31.1695,-91.8678,116280,3949,74246,38085.0,22,2501.293883962163,1342243,,3.3961128310973514,84000022,USA,28872.929194109267,
Maine,US,2020-08-02 05:02:31,44.6939,-69.3819,3937,123,3377,437.0,23,292.88534844206123,169746,388,3.124206248412497,84000023,USA,12627.918810425737,9.855219710439421
Maryland,US,2020-08-02 05:02:31,39.0639,-76.8021,89365,3506,5713,80146.0,24,1478.1629196384856,929354,12672,3.9232361662843394,84000024,USA,15372.199653306163,14.180048117271863
Massachusetts,US,2020-08-02 05:02:31,42.2302,-71.5301,118040,8626,97595,11819.0,25,1712.585398947233,1188430,11908,7.3076923076923075,84000025,USA,17242.357384537954,10.088105726872246
Michigan,US,2020-08-02 05:02:31,43.3266,-84.5361,91332,6457,60022,24853.0,26,914.5219562070429,1876830,,7.0698112381202645,84000026,USA,18792.999639426096,
Minnesota,US,2020-08-02 05:02:31,45.6945,-93.9002,55188,1646,48119,5423.0,27,978.5744885481889,846268,5208,2.9825324345872293,84000027,USA,15005.730870383031,9.436834094368342
