Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-06-08 23:53:30,32.3182,-86.9023,20925,718,11395,8812.0,1,426.7634201034634,259991,2054,3.4313022700119475,84000001,USA,5302.4921556090585,9.816009557945042
Alaska,US,2020-06-08 23:53:30,61.3707,-152.4044,562,10,384,168.0,2,76.8237087260524,65912,,1.7793594306049823,84000002,USA,9009.97204546542,
American Samoa,US,2020-06-08 23:53:30,-14.270999999999999,-170.132,0,0,,0.0,60,0.0,174,,,16,ASM,312.7190381193724,
Arizona,US,2020-06-08 23:53:30,33.7298,-111.4312,27678,1053,5639,20986.0,4,380.2593231746749,288081,3377,3.804465640580967,84000004,USA,3957.854110827499,12.201026085699834
Arkansas,US,2020-06-08 23:53:30,34.9697,-92.3731,9740,156,6424,3160.0,5,322.7512456077333,160587,844,1.6016427104722792,84000005,USA,5321.319741109761,8.6652977412731
California,US,2020-06-08 23:53:30,36.1162,-119.6816,131484,4641,,126843.0,6,332.76791336189814,2431190,,3.5297070365976086,84000006,USA,6153.007387106516,
Colorado,US,2020-06-08 23:53:30,39.0598,-105.3111,28169,1543,4091,22535.0,8,489.15248068326105,217484,4485,5.47765273882637,84000008,USA,3776.592641162922,15.921757960878981
Connecticut,US,2020-06-08 23:53:30,41.5978,-72.7554,44093,4084,7284,32725.0,9,1236.7307316353495,308071,9669,9.262241172068128,84000009,USA,8640.847146386812,21.928650806250424
Delaware,US,2020-06-08 23:53:30,39.3185,-75.5071,9972,398,5791,3783.0,10,1024.0674331768273,69947,,3.99117529081428,84000010,USA,7183.157315324863,
Diamond Princess,US,2020-06-08 23:53:30,,,49,0,,49.0,88888,,,,0.0,84088888,USA,,
District of Columbia,US,2020-06-08 23:53:30,38.8974,-77.0268,9389,491,1143,7755.0,11,1330.3596604458526,55766,,5.229523910959633,84000011,USA,7901.676091641646,
Florida,US,2020-06-08 23:53:30,27.7663,-81.6868,64904,2712,,62192.0,12,302.1919860551417,1234550,11282,4.178478984346111,84000012,USA,5748.045057074682,17.382595833846914
Georgia,US,2020-06-08 23:53:30,33.0406,-83.6431,52525,2209,,50316.0,13,494.7057303829752,549375,8746,4.20561637315564,84000013,USA,5174.278165238401,16.65111851499286
Grand Princess,US,2020-06-08 23:53:30,,,103,3,,100.0,99999,,,,2.912621359223301,84099999,USA,,
Guam,US,2020-06-08 23:53:30,13.4443,144.7937,179,5,163,11.0,66,108.9941484147136,7729,,2.793296089385475,316,GUM,4706.233369258779,
Hawaii,US,2020-06-08 23:53:30,21.0943,-157.4983,676,17,617,42.0,15,47.74442887492655,55147,84,2.514792899408284,84000015,USA,3894.9142295348734,12.42603550295858
Idaho,US,2020-06-08 23:53:30,44.2405,-114.4788,3139,83,2461,595.0,16,175.6511374796104,56041,260,2.6441541892322395,84000016,USA,3135.9239870961605,8.282892640968461
Illinois,US,2020-06-08 23:53:30,40.3495,-88.9861,128415,5924,,122491.0,17,1013.3902617469107,1059597,,4.613168243585251,84000017,USA,8361.836866224672,
Indiana,US,2020-06-08 23:53:30,39.8494,-86.2583,37623,2316,25608,9699.0,18,558.8499126365318,309503,6179,6.155808946654972,84000018,USA,4597.34004493912,16.42346437019908
Iowa,US,2020-06-08 23:53:30,42.0115,-93.2105,21999,613,13028,8358.0,19,697.2586979052762,193622,,2.78649029501341,84000019,USA,6136.852748116524,
Kansas,US,2020-06-08 23:53:30,38.5266,-96.7265,10533,236,625,9672.0,20,361.5470217079244,119509,936,2.240577233456755,84000020,USA,4102.166810717966,8.886357163201367
Kentucky,US,2020-06-08 23:53:30,37.6681,-84.6701,11478,472,3359,7647.0,21,256.91226730335904,252857,2368,4.112214671545566,84000021,USA,5659.70248941675,20.630771911482835
Louisiana,US,2020-06-08 23:53:30,31.1695,-91.8678,43050,2944,33904,6202.0,22,926.0466262863014,442602,,6.83855981416957,84000022,USA,9520.79184407827,
Maine,US,2020-06-08 23:53:30,44.6939,-69.3819,2588,99,1891,598.0,23,192.5291546273951,61645,301,3.8253477588871716,84000023,USA,4585.958167312894,11.630602782071097
Maryland,US,2020-06-08 23:53:30,39.0639,-76.8021,58404,2776,4240,51388.0,24,966.0451760595996,371503,9629,4.753099102801178,84000024,USA,6144.933241587381,16.486884459968497
Massachusetts,US,2020-06-08 23:53:30,42.2302,-71.5301,103626,7353,,96273.0,25,1503.459628526821,657269,10425,7.095709570957096,84000025,USA,9535.99875110682,10.060216547970587
Michigan,US,2020-06-08 23:53:30,43.3266,-84.5361,64413,5895,42041,16477.0,26,644.9776941834654,721035,,9.151879279027526,84000026,USA,7219.839034442968,
Minnesota,US,2020-06-08 23:53:30,45.6945,-93.9002,28224,1208,23657,3359.0,27,500.45818592418794,354226,3401,4.280045351473923,84000027,USA,6281.012661819069,12.050028344671201
Mississippi,US,2020-06-08 23:53:30,32.7416,-89.6787,17768,837,13356,3575.0,28,597.0131199748399,208212,2535,4.710715893741558,84000028,USA,6996.020696544427,14.267221972084647
Missouri,US,2020-06-08 23:53:30,38.4561,-92.2884,15158,823,,14335.0,29,246.97642074171787,241461,,5.429476184193165,84000029,USA,3934.2375992027933,
