Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,Cases_28_Days,Deaths_28_Days
Australian Capital Territory,Australia,2021-06-23 18:31:07,-35.4735,149.0124,124,3,121,0,,28.965195047886013,,,2.419354838709677,3601,AUS,,,0,0
New South Wales,Australia,2021-06-23 18:31:07,-33.8688,151.2093,5666,54,,5612,,69.79551613697956,,,0.9530533003882808,3602,AUS,,,90,0
Northern Territory,Australia,2021-06-23 18:31:07,-12.4634,130.8456,177,0,174,3,,72.06840390879479,,,0.0,3603,AUS,,,6,0
Queensland,Australia,2021-06-23 18:31:07,-27.4698,153.0251,1674,7,1621,46,,32.724073893070084,,,0.4181600955794504,3604,AUS,,,63,0
South Australia,Australia,2021-06-23 18:31:07,-34.9285,138.6007,788,4,777,7,,44.8619413606604,,,0.5076142131979695,3605,AUS,,,38,0
Tasmania,Australia,2021-06-23 18:31:07,-42.8821,147.3272,234,13,221,0,,43.69747899159664,,,5.5555555555555545,3606,AUS,,,0,0
Victoria,Australia,2021-06-23 18:31:07,-37.8136,144.9631,20695,820,19827,48,,312.1464878806618,,,3.962309736651365,3607,AUS,,,134,0
Western Australia,Australia,2021-06-23 18:31:07,-31.9505,115.8605,1020,9,1009,2,,38.774424085759904,,,0.8823529411764706,3608,AUS,,,3,0
Antwerp,Belgium,2021-06-23 18:31:07,51.2195,4.4024,140731,0,,140731,,7574.384306447951,,,0.0,5601,BEL,,,4640,0
Brussels,Belgium,2021-06-23 18:31:07,50.8503,4.3517,132945,0,,132945,,11000.445164504006,,,0.0,5602,BEL,,,3974,0
East Flanders,Belgium,2021-06-23 18:31:07,51.0362,3.7373,123718,0,,123718,,8165.859660053965,,,0.0,5603,BEL,,,3019,0
Flemish Brabant,Belgium,2021-06-23 18:31:07,50.9167,4.5833,82237,0,,82237,,7174.907845660567,,,0.0,5604,BEL,,,2276,0
Hainaut,Belgium,2021-06-23 18:31:07,50.5257,4.0621,159134,0,,159134,,11838.204607655918,,,0.0,5605,BEL,,,4133,0
Liege,Belgium,2021-06-23 18:31:07,50.4496,5.8492,130274,0,,130274,,11768.287395030859,,,0.0,5606,BEL,,,3289,0
Limburg,Belgium,2021-06-23 18:31:07,50.9739,5.3420000000000005,60922,0,,60922,,6970.097752068537,,,0.0,5607,BEL,,,1868,0
Luxembourg,Belgium,2021-06-23 18:31:07,50.0547,5.4677,31184,0,,31184,,10955.670008923616,,,0.0,5608,BEL,,,563,0
Namur,Belgium,2021-06-23 18:31:07,50.331,4.8221,59177,0,,59177,,11971.27395943964,,,0.0,5609,BEL,,,968,0
Unknown,Belgium,2021-06-23 18:31:07,,,20831,25144,,-4313,,,,,120.70471892852,5610,BEL,,,820,271
Walloon Brabant,Belgium,2021-06-23 18:31:07,50.4,4.35,41523,0,,41523,,10288.182081719728,,,0.0,5611,BEL,,,1385,0
West Flanders,Belgium,2021-06-23 18:31:07,51.0536,3.1458,97359,0,,97359,,8141.773345955329,,,0.0,5612,BEL,,,2423,0
Acre,Brazil,2021-06-23 18:31:07,-9.0238,-70.812,84937,1734,79292,3911,,9630.755100999506,,,2.0415131214900457,7601,BRA,,,3286,85
Alagoas,Brazil,2021-06-23 18:31:07,-9.5713,-36.782,211156,5176,201122,4858,,6327.042626845136,,,2.4512682566443766,7602,BRA,,,21570,533
Amapa,Brazil,2021-06-23 18:31:07,0.902,-52.003,115976,1807,94183,19986,,13713.107359195772,,,1.5580809822721942,7603,BRA,,,5123,141
Amazonas,Brazil,2021-06-23 18:31:07,-3.4168,-65.8561,398245,13241,341700,43304,,9608.774990668575,,,3.3248377255207218,7604,BRA,,,14865,306
Bahia,Brazil,2021-06-23 18:31:07,-12.5797,-41.7007,1104545,23354,1064909,16282,,7426.479170667188,,,2.1143547795698683,7605,BRA,,,114636,2748
Ceara,Brazil,2021-06-23 18:31:07,-5.4984,-39.3206,869161,22182,609174,237805,,9517.669472380769,,,2.5521163512858958,7606,BRA,,,90717,2228
